,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196808,27.28,27.18,25.22,26.04,26.2,75.07,77.92,78.17,78.64,80.85,142.94,154.44,147.9,155.18,144.73,316.38,325.09,328.53,358.76,334.42,2426.04,1679.29,1555.43,1793.75,1206.55
196809,28.48,28.74,26.42,27.08,27.34,76.29,80.09,81.05,79.15,85.76,147.26,157.38,151.01,158.93,151.29,321.25,327.98,334.59,366.82,343.02,2449.22,1673.4,1577.02,1808.23,1227.2
196810,30.47,30.9,28.22,28.65,29.07,81.58,84.47,87.1,83.48,91.09,157.52,168.81,156.45,167.49,159.13,342.95,346.3,350.33,391.12,362.47,2494.86,1762.31,1610.63,1904.59,1327.91
196811,29.83,30.91,28.6,28.67,29.57,81.35,85.09,87.05,85.32,91.86,157.48,173.39,160.45,171.75,160.22,343.67,346.08,357.78,393.2,371.11,2449.54,1795.06,1638.8,1973.54,1336.15
196812,31.86,33.21,30.36,30.56,31.37,89.35,92.47,93.47,92.58,96.94,170.43,185.68,173.16,187.25,172.46,367.46,370.9,382.58,418.56,400.63,2597.32,1833.81,1723.37,2049.05,1384.42
196901,33.1,33.98,30.51,30.07,31.47,89.23,93.45,91.71,89.41,93.31,165.6,178.04,170.15,186.88,166.84,351.44,354.93,365.51,410.59,397.23,2458.22,1755.1,1659.75,1975.36,1340.31
196902,32.95,33.21,30.1,29.62,31.05,86.65,92.68,90.04,90.63,94.07,159.82,176.39,170.47,184.82,164.62,344.06,355.37,364.03,409.1,401.31,2403.69,1746.87,1674.32,1965.56,1352.4
196903,28.84,29.66,27.27,27.03,28.27,77.25,84.69,84.98,83.92,86.3,145.29,160.73,157.56,172.4,154.52,315.19,329.36,343.8,378.02,364.78,2319.24,1673.97,1580.15,1859.9,1262
196904,29.75,30.35,28.24,27.99,28.99,80.44,85.95,86.59,84.11,90.85,147.99,164.7,159.65,175.33,158.22,328.5,323.03,351.24,383.05,376.93,2416.1,1718.59,1638.21,1894.22,1320.1
196905,30.1,30.09,28.72,28.45,28.96,81.77,86.79,87.24,83.37,95.06,151.45,164.77,161.21,177.18,158.75,337.89,329.3,352.01,380.94,378.33,2505.17,1733.83,1652.53,1950.28,1345.99
196906,30.48,30.31,28.87,28.73,28.98,80.24,85.02,86.11,83.08,95.26,151.43,164.94,163.78,178.06,155.13,336.98,325.87,355.5,383.01,373.43,2487.65,1728.69,1661.07,1962.95,1344.43
196907,26.11,22.78,23.2,25.43,24.92,78.81,73.17,78.56,75.98,75.88,148.44,145,153.14,146.62,143.7,338.89,309.52,328.67,336.56,327.46,2309.55,1554.18,2030.26,1683.5,1729.28
196908,22.67,20.12,20.7,22.77,22.92,70.37,64.75,71.88,70.85,69.32,133.68,129.6,143.62,137.46,132.29,316.06,285.27,307.25,313.79,299.61,2214.08,1459.44,1880.36,1555.05,1628.35
196909,23.87,21.06,21.63,23.39,23.45,75.39,69,74.41,72.79,70.92,146.48,140.47,153.3,140.35,139.37,345.66,301.44,317.63,325.99,306.6,2365.13,1519.26,1939.81,1610.97,1645.07
196910,23.15,20.05,20.37,22.71,22.58,76.67,68.11,72.81,72.07,69.77,147.11,140.36,149.75,136.82,133.93,347.32,297.05,309.56,312.88,295.06,2351.37,1482.19,1871.5,1526.11,1568.4
196911,26.33,22.63,22.17,24.57,23.98,85.26,73.88,77.52,76.13,74.42,159.56,149.96,160.95,148.59,142.85,378.67,317.31,334.14,332.38,309.33,2492.67,1553.6,1946.03,1554.38,1621.54
196912,24.08,20.92,20.75,22.94,22.14,82.31,69.66,74.55,70.71,70.33,152.11,142.86,149.71,142.46,134.15,368.94,305.05,323.26,312.32,288.78,2450.64,1489.97,1858.07,1469.01,1578.34
197001,22.1,19.26,19.65,20.74,20.18,78.57,65.09,69.15,66.22,65.84,148.21,139.02,143.18,135.22,126.9,370.76,292.23,316.08,303.87,275.69,2470.09,1466.58,1835.76,1433.18,1493.2
197002,21.01,18.65,18.71,20.18,20.17,73,60.66,67.63,63.6,64.49,133.89,130.24,131.58,129.99,121.99,341.75,258.64,292.45,283.25,257.51,2261.78,1365.46,1664.54,1301.39,1426.11
197003,21.48,19.29,19.47,20.73,20.94,75.05,61.58,69.52,68.52,68.79,138.01,133.77,138.78,136.55,130.33,354.06,272.92,309.35,309.02,275.17,2335.24,1430.14,1801.96,1376.58,1529.02
197004,19.99,18.22,18.88,20.96,20.6,70.55,59.89,69.23,68.29,69.07,132.93,131.79,137.18,138.61,130.81,338.82,272.06,315.16,307.76,280.34,2275.12,1427.08,1841.16,1387.33,1551.14
197005,15.25,14.72,16.03,17.8,18.11,54.05,49.74,58.86,60.81,61.18,106.64,111.62,118.98,125.35,116.73,286.07,232.95,283.27,276.77,252.17,2035.43,1308.04,1681.23,1285.38,1424.73
197006,13.67,13.19,14.63,16.27,16.12,47.31,45.35,51.88,55.4,55.98,93.49,98.59,103.47,116.8,106.73,254.5,208.81,259.9,256.69,230.42,1860.03,1227.96,1593.84,1269.06,1353.21
197007,14.27,12.44,11.73,12.88,12.41,44.21,47.24,43.97,45.17,44.29,94.86,97.25,96.74,96.61,95.29,231.03,235.68,227.19,241.4,228.82,1726.66,1231.9,1127.95,1672.73,776.63
197008,15.11,12.9,12.35,13.71,12.92,47.14,50.79,46.75,49.8,47.47,102.32,103.33,105.77,101.6,103.12,245.72,258.33,245.37,262.82,253.26,1800.28,1328.8,1242.38,1834.64,821.89
197009,15.88,13.79,13.18,14.57,13.7,51.56,55.05,49.75,53.16,49.37,108.27,111.21,111.44,107.33,109.75,255.88,278.31,254.55,275.53,268.08,1868.37,1387.48,1296.84,1895.52,867.92
197010,19.42,16.03,15.21,16.15,15.23,60.68,65.18,54.66,56.26,54.07,124.36,122.75,120.3,112.35,116.7,280.27,295.42,264.97,284.85,289.98,1999.55,1390.52,1296.57,1891.03,904.47
197011,17.14,14.91,13.49,15.08,14.5,57.71,60.01,50.91,54.15,51.66,116.86,117.02,112.74,108.91,111.21,272.98,281.69,255.97,274.01,271.45,1994.65,1372.62,1279.85,1862.8,864.99
197012,16.41,14.6,13.13,15.11,14.44,58.23,60.75,52.44,56.54,53.25,120.6,119.8,118.46,112.89,112.97,285.32,289.7,269.08,296.49,281.1,2092.62,1454.39,1335.95,1960.22,910.74
197101,17.53,15.7,14.49,16.84,15.92,63.18,66.04,56.49,61.86,57.71,128.33,130.33,130.76,122.49,122.23,302.36,320.13,291.13,323.77,302.66,2209.04,1538.12,1413.59,2068.1,971.52
