,Agric,Mines,Oil  ,Stone,Cnstr,Food ,Smoke,Txtls,Apprl,Wood ,Chair,Paper,Print,Chems,Ptrlm,Rubbr,Lethr,Glass,Metal,MtlPr,Machn,Elctr,Cars ,Instr,Manuf,Trans,Phone,TV   ,Utils,Garbg,Steam,Water,Whlsl,Rtail,Money,Srvc 
201110,20.97,22.34,24.43,14.88,20.01,2.88,7.61,14.26,17.88,20.5,20.79,7.72,9.88,6.75,11.12,12.94,23.14,27.29,18.15,19.86,15.21,13.23,15.6,8.36,12.77,15.28,2.97,11.95,6.68,2.67,-99.99,-99.99,13.76,9.09,13.48,12.56
201111,0.26,-0.56,2.27,1.73,1.83,0.53,7.17,-1.08,-5.6,2.67,-4.71,1.93,-0.68,1.24,1.58,-0.63,-4.84,0.23,-1.46,3.02,-1.58,-0.01,-2.29,-0.31,0,1.49,0.16,-0.05,0.99,-3.06,-99.99,-99.99,1.17,1.19,-2.94,-1.71
201112,-3.96,-9.48,-6.19,2.09,-0.24,2.59,3.61,0.82,-1.94,2.26,-0.01,2.31,3.4,3.09,3.77,0.57,-7.21,-1.15,-5.18,-1.82,-0.85,-2.45,-0.2,0.4,-4.41,1.19,3.67,2.81,2.95,2.06,-99.99,-99.99,-0.02,1.02,1.76,-1.81
201201,16.81,12.5,5.78,8.91,10.05,-0.64,-4.66,6.96,9.58,9.28,5.1,1.66,0.84,3.16,-1.32,7.54,13.13,10.92,12.4,6.77,11.83,9.75,8.22,9.02,7.61,6.62,-2.48,6.27,-2.71,5.36,-99.99,-99.99,6.07,3.63,7.17,5.97
201202,-5.12,-5.12,7.59,2.39,6.24,1.54,10.56,5.73,9.28,1.65,5.65,5.9,3.21,1.9,6.16,3.22,4.7,-1.29,-2.69,5.52,9,3.61,5.02,2.89,3.04,-1.24,3.52,6.1,1.25,1.88,-99.99,-99.99,1.58,3.47,6.47,5.27
201203,2.95,-8.28,-6.31,-2.14,0.97,3.85,4.93,4.53,2.88,10.12,2.67,1.41,2.16,3.47,-0.92,1.53,-0.16,8.89,0.67,2.37,4.09,3.47,0.33,3.21,3.95,1,1.13,3.54,1.44,0.85,-99.99,-99.99,2.98,4.91,6.86,3.64
201204,-4.03,-0.85,-1.89,0.71,2,1.31,1.83,-0.06,-0.07,-0.19,-7.02,-0.07,-2.55,0.47,-1.71,1.68,-4.12,-4.34,-4.29,-1.32,-2.85,-3.28,-2.76,-0.47,0.62,1.23,4.68,-0.56,1.74,-3.04,-99.99,-99.99,-0.3,1.24,-2.46,-0.93
201205,0.53,-14.18,-14.41,-16.4,-8.89,-1.44,-3.64,-2.83,-7.31,-3.85,-7.06,-5.16,-8.63,-3.85,-8.02,-3.8,-5.48,-9.89,-14.52,-6.16,-8.39,-8.99,-7.68,-6.75,-6.41,-2.08,2.31,-3.56,-0.93,-4.33,-99.99,-99.99,-6.12,-2.56,-9.02,-8.04
201206,6.9,5.71,2.54,12.68,7.62,3.56,5.92,2.22,-4.76,10.93,-7.58,3.7,7.13,4.97,7.9,-11.33,-12.02,2.99,4.78,0.9,1.13,1.5,-0.23,3.99,0.78,4.04,5.51,8.25,3.4,1.33,-99.99,-99.99,2.58,2.03,4.54,4.22
201207,3.26,-4.71,3.46,-2.45,-1.83,0.11,3.94,-0.77,3.72,-5.55,-5.31,4.56,1.08,2.66,2.63,2.91,-7.52,-6.4,-1.35,1.34,1.84,0.03,-0.66,-1.89,3.1,-0.99,6.02,2.43,3.73,4.21,-99.99,-99.99,0.53,1.38,-1.06,-2.65
201208,2.15,6.04,1.23,0.57,8.38,-0.42,-2.93,8.15,7.97,16.62,8.08,1.36,6.44,1.07,3.19,4.94,13.87,11.08,-1.1,2.23,7.07,2.49,3.27,3.71,1.29,-1.56,-2.48,4.15,-3.34,-2.22,-99.99,-99.99,0.41,3.05,4.11,3.75
201209,4.67,8.6,2.61,11.3,6.67,0.71,-0.03,5.4,1.71,4.22,1.96,5.06,5.81,3.46,4.21,-0.48,-3.03,3.45,3.77,4.23,0.76,-2.66,1.49,3.77,0.61,-2.28,4.36,5.17,2.17,-2.39,-99.99,-99.99,0.41,2.14,3.62,4
201210,-4.83,3.87,-3.1,-1.14,2.69,-1.58,-2.52,4.72,0.53,8.15,-0.4,-2.19,-1.03,-1.21,-1.49,-2.43,-1.95,10.04,-0.73,0.49,-7.81,-3.18,3.25,-1.94,0.35,2.95,-4.76,-0.33,1.05,4.67,-99.99,-99.99,2.61,-1.52,1.97,-4.74
201211,5.85,-5.73,-1.47,7.62,-0.85,3.35,3.27,4,2.29,6.09,4.74,2.12,-2.51,1.69,-1.27,5.85,4.92,3.12,2.61,3.82,1.04,2.65,3.24,2,2.88,0.4,-1.26,1.06,-3.68,-0.1,-99.99,-99.99,2.29,1.3,-0.68,2.19
201212,2.97,-0.27,2.23,1.66,6.2,-1.69,-5.58,3.54,-2.14,1.06,7.36,2.83,5.52,-0.26,0.56,4.64,-3.7,6.62,6.56,1.17,-1.58,3.02,4.84,1.73,-0.36,3.01,-0.91,2.68,0.14,2.04,-99.99,-99.99,1.99,-1.57,4.31,1.81
201301,6.99,-0.86,10.56,5.67,10.89,5.3,5.61,9.22,3.21,7.45,4.72,4.89,5.08,7.29,6.2,6.18,-3.47,9.12,4.28,5.5,-1.62,4.8,1.84,7.58,4.28,8.52,3.67,5.89,5.08,6.3,-99.99,-99.99,6.46,5.36,6.36,6.67
201302,-0.41,-8.2,-1.57,-3.85,-3.52,4.56,2.21,5.7,3.07,4.42,2.4,5.87,-6.47,1.69,1.82,1.21,-3.02,0.34,-2.68,2.67,-1.13,1.56,1.84,0.23,4.61,3.64,2.08,2.3,2.16,0,-99.99,-99.99,2.07,0.66,1.31,0.72
201303,4.6,0.69,2.37,2.3,5.82,6.44,2.72,8.88,-0.79,4.74,10.77,5.42,7.66,5.28,1.92,6.99,4.1,2.75,2.1,3.64,1.34,3.09,4.93,3.63,6.78,4.65,3.38,7.43,5.64,6.82,-99.99,-99.99,3.25,4.88,4.53,3.15
201304,1.39,-11.16,-1.13,-1.42,-3.5,3.13,4.4,1.02,8.91,-5.5,-0.94,2.23,-0.28,3.35,-1.4,4.92,12.21,-1.23,-4.41,-1.99,-1.42,-0.36,2.48,-1.05,4.12,-0.14,6.67,2.56,5.05,3.17,-99.99,-99.99,0.17,3.1,1.6,1.61
201305,-5.05,-0.76,3.37,6.14,3.7,-2.84,-2.98,0.77,2.81,9.03,3.99,-1.67,4.86,0.97,2.83,-0.34,1.27,4.7,3.84,5.86,5.92,4.66,8.49,5.77,-1.21,2.74,-6.49,1.61,-6.99,1.76,-99.99,-99.99,3.85,1.93,7.05,3.52
201306,-0.97,-12.65,-0.55,-6.81,-6.84,1.02,-2.26,2.28,-0.59,-9,-1.58,-0.21,2.44,-2.02,-3.09,1.64,-0.74,-7.11,-4.72,-2.94,-5.32,-1.78,0.72,-0.39,1.61,-0.91,2.18,2.19,0.79,-1.48,-99.99,-99.99,-0.55,0.04,-0.44,-2.24
201307,1.2,2.39,5.02,-3.11,2.26,3.3,1.76,12.02,4.8,6.08,5.82,6.37,11.99,7.62,4.92,1.76,-1.06,5.2,6.97,7.28,4.99,7.92,8.28,6.11,1.6,3.65,1.02,5.5,4.58,3.99,-99.99,-99.99,6.46,5.8,6.33,5.25
201308,-1.26,5.58,1.61,-1.3,-3.46,-3.98,-4.85,-3.46,-3.42,-7.86,-4.14,-3.69,-4.68,-3.22,-4.95,-1.01,-0.83,-5.42,-2.75,-2.42,-2.94,1.69,-1.69,-2.58,-1.64,-2.59,-4.09,-2.82,-4.41,-3.01,-99.99,-99.99,-2.5,-4.41,-4.2,-0.37
201309,6.16,0.53,4.78,6.24,6.51,0.07,4.28,8.44,3.85,12.14,7.58,1.18,6.14,3.52,-0.73,12,3.85,8.97,8.35,6.14,3.92,2.52,7.36,4.92,2.39,5.92,-0.07,6.52,1.04,3.48,-99.99,-99.99,5.6,4.38,3.2,5.63
201310,1.04,6.53,5.92,3.61,5.08,5.33,5.35,4.48,3.01,6.38,3.12,7.11,6.97,4.06,3.56,3.94,-3.44,1.44,8.38,4.15,1.17,6.35,2.82,4.94,5.2,5.93,8.41,4.04,3.34,1.19,-99.99,-99.99,5.76,5.02,3.33,3.45
201311,7.64,-6.47,-3.28,1.41,4.52,0.91,-2.42,4.21,5.83,0.63,8.06,0.85,0.24,4.25,5.17,3.61,13.76,5.16,1.72,3.24,1.26,4.4,3.59,2.83,2.21,5.28,-2.67,2.33,-1.8,2.62,-99.99,-99.99,3.86,3.64,6.08,3.27
201312,3.1,7.36,-0.82,5.58,5.13,2.17,2.97,3.64,2.19,5.97,0.17,1.58,7.53,0.85,6.31,2.16,-1.49,3.32,6.52,3.52,5.12,2.89,2.5,3.14,2.72,2.24,0.36,5.5,1.79,-0.8,-99.99,-99.99,2.54,-0.08,2.73,4.65
201401,-8.01,-8.22,-4.97,1.5,-3.29,-3.89,-8.33,-2.68,-6.12,-1.67,-9.29,1.78,-7.27,-0.22,-8.78,-6.2,-13.21,-3,-5.47,-5.95,-2.2,-5.47,-2.88,1.4,-13.54,-2,-3.03,-4.5,2.49,-4.38,-99.99,-99.99,-2.35,-7.16,-4.23,-0.15
201402,3,5.2,7.79,10.95,5.37,3.31,3.35,0.87,4.79,4.77,5.92,3.89,6.84,6.65,3.9,6.08,2.95,11.35,2.55,6.09,4.41,5.25,6.44,4.28,3.01,2.1,-1.85,5.17,3.07,0.32,-99.99,-99.99,4.5,5.5,3.24,5.7
201403,3.73,-1.65,2.4,1.91,-3.34,3.18,4.07,-0.06,2.15,-6.29,3.7,-1.99,-0.73,-2.1,2.59,-4.36,3.69,-0.63,3.67,-0.53,2.03,2.49,-0.95,-0.42,3.91,2.68,5.83,-2.71,2.68,2.01,-99.99,-99.99,0.41,-0.72,2.35,-2.83
201404,-2.6,4.5,5.64,1.31,-3.94,1.64,5.69,0.48,-5.07,-4.89,-1.04,-0.66,-2.21,0.8,5.6,-1.26,-5.42,-4.59,0.65,0.54,0.32,3.18,0.94,-3.69,-2.97,1.11,1.76,-0.54,3.97,4.08,-99.99,-99.99,-0.54,-0.96,-3.51,-3.25
201405,9.86,-3.55,3.14,0.11,2.36,3.44,3.99,2.75,2,-5.02,5.63,1.61,-1.54,1.34,-1.04,3.58,-5.51,1.08,-1.62,0.72,1.9,4.62,1.6,3.11,0.44,5.45,2.91,4.53,0,0.69,-99.99,-99.99,3.44,0.48,1.83,2.76
